Date,Close/Last,Volume,Open,High,Low
06/24/2024,$16.72,14610710,$16.68,$16.81,$16.58
06/21/2024,$16.56,35931250,$16.98,$16.98,$16.45
06/20/2024,$16.96,31193860,$16.50,$17.15,$16.44
06/18/2024,$16.41,19403880,$16.09,$16.50,$16.07
06/17/2024,$16.14,19873490,$16.00,$16.18,$15.97
06/14/2024,$16.03,19395900,$16.20,$16.20,$15.92
06/13/2024,$16.07,21657690,$16.29,$16.51,$15.92
06/12/2024,$16.40,25432660,$16.45,$16.56,$16.21
06/11/2024,$16.18,17068550,$16.28,$16.28,$16.00
06/10/2024,$16.45,21491220,$16.25,$16.46,$16.12
06/07/2024,$16.15,36198510,$16.82,$16.83,$16.12
06/06/2024,$17.32,23544680,$16.655,$17.37,$16.51
06/05/2024,$16.70,15604450,$16.52,$16.7379,$16.39
06/04/2024,$16.49,32330570,$17.09,$17.09,$16.36
06/03/2024,$17.42,18659680,$17.15,$17.53,$17.07
05/31/2024,$17.09,20415370,$17.13,$17.26,$16.97
05/30/2024,$17.11,12306380,$16.96,$17.21,$16.96
05/29/2024,$16.92,12268760,$17.24,$17.38,$16.91
05/28/2024,$17.44,21446230,$17.24,$17.47,$17.055
05/24/2024,$17.02,13893150,$17.08,$17.18,$17.01
05/23/2024,$16.94,25362830,$17.20,$17.39,$16.91
05/22/2024,$17.29,21070460,$17.60,$17.70,$17.22
05/21/2024,$17.80,14213270,$17.85,$17.93,$17.70
05/20/2024,$17.92,18065200,$17.98,$18.10,$17.745
05/17/2024,$17.89,21079180,$17.80,$17.89,$17.635
05/16/2024,$17.52,16293030,$17.39,$17.61,$17.27
05/15/2024,$17.42,19914830,$17.34,$17.57,$17.04
05/14/2024,$17.15,12980200,$17.03,$17.15,$16.96
05/13/2024,$16.94,12691000,$16.92,$17.135,$16.80
05/10/2024,$16.93,16539690,$17.30,$17.32,$16.915
05/09/2024,$17.03,18765880,$16.80,$17.14,$16.80
05/08/2024,$16.72,12209730,$16.55,$16.88,$16.55
05/07/2024,$16.74,12734660,$16.61,$16.76,$16.531
05/06/2024,$16.67,13667690,$16.78,$16.86,$16.61
05/03/2024,$16.46,16806390,$16.63,$16.63,$16.325
05/02/2024,$16.55,19121030,$16.29,$16.69,$16.17
05/01/2024,$16.36,35341900,$16.82,$16.89,$16.22
04/30/2024,$16.64,30865100,$16.88,$17.07,$16.60
04/29/2024,$17.32,19205270,$17.20,$17.45,$16.93
04/26/2024,$17.09,19814200,$17.20,$17.26,$16.92
04/25/2024,$17.08,42772950,$16.54,$17.24,$16.43
04/24/2024,$16.52,25854360,$16.47,$16.585,$16.3645
04/23/2024,$16.69,26739350,$16.28,$16.785,$16.26
04/22/2024,$16.42,26867970,$16.37,$16.745,$16.30
04/19/2024,$17.10,25611700,$16.86,$17.24,$16.8227
04/18/2024,$16.98,18615990,$16.87,$17.0317,$16.685
04/17/2024,$16.70,24800080,$16.54,$16.86,$16.464
04/16/2024,$16.48,49673580,$16.79,$16.81,$16.10
04/15/2024,$17.37,32856560,$17.83,$17.84,$17.108
04/12/2024,$17.86,49939190,$18.42,$18.95,$17.72
04/11/2024,$18.04,27309030,$18.01,$18.12,$17.66
04/10/2024,$17.90,31317120,$17.63,$18.00,$17.51
04/09/2024,$18.01,29525800,$18.13,$18.32,$17.94
04/08/2024,$17.70,27550520,$18.02,$18.12,$17.48
04/05/2024,$17.86,35468820,$17.34,$18.01,$17.30
04/04/2024,$17.39,29366700,$17.37,$17.53,$17.235
04/03/2024,$17.42,27933720,$17.13,$17.49,$17.09
04/02/2024,$17.18,34453340,$16.95,$17.21,$16.81
04/01/2024,$16.86,29111550,$17.01,$17.06,$16.68
03/28/2024,$16.64,29336000,$16.45,$16.70,$16.26
03/27/2024,$16.21,28034300,$15.62,$16.21,$15.605
03/26/2024,$15.52,16446400,$15.75,$15.80,$15.52
03/25/2024,$15.57,13644850,$15.66,$15.935,$15.54
03/22/2024,$15.52,21400490,$15.71,$15.8899,$15.49
03/21/2024,$15.81,26790800,$16.00,$16.25,$15.80
03/20/2024,$15.68,18274690,$15.21,$15.79,$15.19
03/19/2024,$15.25,20044110,$15.51,$15.575,$15.23
03/18/2024,$15.63,12186740,$15.76,$15.80,$15.61
03/15/2024,$15.76,20414040,$15.70,$15.83,$15.61
03/14/2024,$15.76,16563160,$15.84,$15.865,$15.59
03/13/2024,$15.98,19908630,$15.66,$16.03,$15.63
03/12/2024,$15.64,19584140,$15.58,$15.68,$15.40
03/11/2024,$15.87,24871370,$15.77,$15.92,$15.74
03/08/2024,$15.76,23965530,$15.97,$16.095,$15.75
03/07/2024,$15.90,22814400,$15.98,$16.05,$15.84
03/06/2024,$15.71,27433650,$15.72,$16.00,$15.64
03/05/2024,$15.53,29182810,$15.74,$15.82,$15.53
03/04/2024,$15.46,34728690,$15.14,$15.5187,$15.045
03/01/2024,$14.94,25523210,$14.76,$15.04,$14.56
02/29/2024,$14.66,19063850,$14.67,$14.80,$14.61
02/28/2024,$14.33,12914410,$14.41,$14.42,$14.27
02/27/2024,$14.51,15926150,$14.68,$14.71,$14.51
02/26/2024,$14.65,17181030,$14.51,$14.66,$14.40
02/23/2024,$14.74,20994000,$14.46,$14.76,$14.37
02/22/2024,$14.39,15444640,$14.61,$14.625,$14.36
02/21/2024,$14.75,15165530,$14.73,$14.77,$14.50
02/20/2024,$14.73,15448820,$14.79,$14.939,$14.62
02/16/2024,$14.65,19378950,$14.58,$14.77,$14.485
02/15/2024,$14.60,29174140,$14.34,$14.65,$14.25
02/14/2024,$14.06,32433090,$14.27,$14.32,$13.76
02/13/2024,$14.15,31242580,$14.50,$14.50,$14.02
02/12/2024,$14.73,19310110,$14.69,$14.80,$14.54
02/09/2024,$14.67,17190200,$14.80,$14.80,$14.58
02/08/2024,$14.82,23142990,$14.91,$14.97,$14.73
02/07/2024,$14.93,22404530,$15.00,$15.07,$14.89
02/06/2024,$15.03,20584450,$15.22,$15.23,$15.01
02/05/2024,$15.17,19506890,$15.19,$15.30,$15.09
02/02/2024,$15.41,24403040,$15.49,$15.52,$15.20
02/01/2024,$15.89,20311310,$15.78,$16.05,$15.50
01/31/2024,$15.60,25064550,$15.76,$16.065,$15.55
01/30/2024,$15.68,13835980,$15.81,$15.91,$15.56
01/29/2024,$15.70,17398890,$15.69,$15.74,$15.46
